image,video_path,title,duration,views,date_posted,title_lower,series,error,days_since_posted,views_int,duration_sec,duration_min
https://i.ytimg.com/vi/cw0A9FUTEKE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBY4adwHkvob6Fyg7k60m1c7xeBkA,/watch?v=cw0A9FUTEKE,The Truth About 5G ft. MKBHD,      13:39    ,569K ,3 weeks ago,the truth about 5g ft. mkbhd,None,True,21,56900000,689,11.48
https://i.ytimg.com/vi/PI3hne8C8rU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDK1cCftMWcDjBF9eljy6pEx_kQGw,/watch?v=PI3hne8C8rU,The Teeth Song (Memorize Every Tooth),      4:18    ,265K ,1 month ago,the teeth song (memorize every tooth),None,True,1,26500000,218,3.63
https://i.ytimg.com/vi/yWUHQaeTf9U/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBZXREskUM0MRW3fgZH3J052ePgFA,/watch?v=yWUHQaeTf9U,Are Young People Safe? | Coronavirus,      7:10    ,440K ,1 month ago,are young people safe? | coronavirus, Coronavirus,False,1,44000000,360,6.0
https://i.ytimg.com/vi/p0Su-xQHffM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB3Gs9unShbZyKg4Utl9amHRXvzIA,/watch?v=p0Su-xQHffM,Is Hydroxychloroquine The New Coronavirus Cure? | COVID-19 Antivirals,      10:20    ,768K ,2 months ago,is hydroxychloroquine the new coronavirus cure? | covid-19 antivirals, COVID-19 Antivirals,False,2,76800000,520,8.67
https://i.ytimg.com/vi/SSuxVwMkcpA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAgX93pfKTjT20bNKf5l13sAjcppA,/watch?v=SSuxVwMkcpA,The Coronavirus Vaccine Explained | COVID-19,      10:40    ,2.1M ,2 months ago,the coronavirus vaccine explained | covid-19, COVID-19,False,2,2100000,540,9.0
https://i.ytimg.com/vi/oqtfqVsFaqc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLASUJzfI04tTTs3hzMUI461tTjgkg,/watch?v=oqtfqVsFaqc,What Happens When There Is A Pandemic? | CORONAVIRUS,      7:12    ,1.8M ,3 months ago,what happens when there is a pandemic? | coronavirus, CORONAVIRUS,False,3,1800000,362,6.03
https://i.ytimg.com/vi/Y_B6VADhY84/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCXoE6kBKbqWtrf3EKF692r8Hdc2A,/watch?v=Y_B6VADhY84,The ONLY 3 Study Hacks Everyone Should Know - Science Proven Techniques,      10:06    ,566K ,3 months ago,the only 3 study hacks everyone should know - science proven techniques,None,True,3,56600000,506,8.43
https://i.ytimg.com/vi/OTYfke545vI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCfh0qG5PR6gvsUkvt3SFSbTxf8Mw,/watch?v=OTYfke545vI,What Actually Happens If You Get Coronavirus?,      8:27    ,12M ,4 months ago,what actually happens if you get coronavirus?,None,True,4,12000000,427,7.12
https://i.ytimg.com/vi/js6uTRT8KO4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAipETDOfAiLOdoLXkvqHDcUe3mkA,/watch?v=js6uTRT8KO4,This is the First LIVING Robot and it's Unbelievable,      8:52    ,963K ,4 months ago,this is the first living robot and it's unbelievable,None,True,4,96300000,452,7.53
https://i.ytimg.com/vi/SUO18ePnqz4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCM3YSoe0j83sbpEC9xBOCZttXqlA,/watch?v=SUO18ePnqz4,Can Your Testicles Taste? (TikTok Trend),      6:11    ,332K ,4 months ago,can your testicles taste? (tiktok trend),None,True,4,33200000,311,5.18
https://i.ytimg.com/vi/XcH1D5m9exg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDNnmdH6ye40-Z5NSafVWAlduryKw,/watch?v=XcH1D5m9exg,This is Why Bad News Hijacks Your Brain,      4:29    ,228K ,4 months ago,this is why bad news hijacks your brain,None,True,4,22800000,229,3.82
https://i.ytimg.com/vi/jRdP6n1V2yU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCiO7HnCDPaC6KA70DuP2PwLsCUAw,/watch?v=jRdP6n1V2yU,The Australia Fires Will Actually Have This Impact,      4:15    ,515K ,5 months ago,the australia fires will actually have this impact,None,True,5,51500000,215,3.58
https://i.ytimg.com/vi/le4WaHyEkmA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBeR0YH93OKbHn0z9IoFkDQ0JPVTA,/watch?v=le4WaHyEkmA,The Biggest Science of the DECADE (2010-2019),      11:58    ,182K ,5 months ago,the biggest science of the decade (2010-2019),None,True,5,18200000,608,10.13
https://i.ytimg.com/vi/TwTWyCIGblM/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDsv008a_QTW6O-HrZFko7fJszndA,/watch?v=TwTWyCIGblM,Why Is It Hard To Like Your Own Body?,      3:41    ,624K ,5 months ago,why is it hard to like your own body?,None,True,5,62400000,191,3.18
https://i.ytimg.com/vi/fuvbS7cdKbs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBW_qSpn19v8SSfwN0n3belsw4ATQ,/watch?v=fuvbS7cdKbs,What If You Sleep 2 Hours Less Every Night?,      3:47    ,807K ,6 months ago,what if you sleep 2 hours less every night?,None,True,6,80700000,197,3.28
https://i.ytimg.com/vi/TxpjebYBQuk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCc5woreJsGQRG3oOpHoexIW5dbcg,/watch?v=TxpjebYBQuk,We Wore our Plastic Waste IN PUBLIC for 7 Days - It Changed Our Lives,      13:55    ,139K ,6 months ago,we wore our plastic waste in public for 7 days - it changed our lives,None,True,6,13900000,705,11.75
https://i.ytimg.com/vi/9M29ns1rUSE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBLtGdwYCEFmDJBqIjpMQTbyKI_Uw,/watch?v=9M29ns1rUSE,How To Talk To Climate Change Deniers,      8:06    ,184K ,6 months ago,how to talk to climate change deniers,None,True,6,18400000,406,6.77
https://i.ytimg.com/vi/Qq9CQKNplpw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDrk9G1_eXqiRaRxzQPNVaEhgrXzw,/watch?v=Qq9CQKNplpw,What If You Made A Song With Only Trees?,      2:47    ,281K ,7 months ago,what if you made a song with only trees?,None,True,7,28100000,147,2.45
https://i.ytimg.com/vi/ulEH4Mw8Bd0/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAg_48JC6HQ6x0FEYfhW_rTbSERyw,/watch?v=ulEH4Mw8Bd0,"We became James Charles, Casey Neistat AND Jeffree Star.",      12:40    ,256K ,7 months ago,"we became james charles, casey neistat and jeffree star.",None,True,7,25600000,640,10.67
https://i.ytimg.com/vi/SrKCAwHpkMA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCgBPUXqnai-g9aW1mArM-nDP995w,/watch?v=SrKCAwHpkMA,Dear Smokers,      4:25    ,691K ,8 months ago,dear smokers,None,True,8,69100000,225,3.75
https://i.ytimg.com/vi/z30Wkbc8W_M/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAHo3wko8eGWGTXRI4R2V42K9yoEA,/watch?v=z30Wkbc8W_M,We Stayed Awake For 36 Hours And It Changed Our Faces,      11:41    ,1.6M ,8 months ago,we stayed awake for 36 hours and it changed our faces,None,True,8,1600000,591,9.85
https://i.ytimg.com/vi/YvZdXRP6Tig/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC7IYSUmZIPaengWjqXioTprtcl7A,/watch?v=YvZdXRP6Tig,Why You Shouldn’t Fear Death,      8:29    ,1M ,11 months ago,why you shouldn’t fear death,None,True,1,1000000,429,7.15
