Name,Link,Category
TLC US,https://www.youtube.com/user/TLC/videos,TLC
Hayu,https://www.youtube.com/user/therealhousewives/videos,TLC
E! Entertainment,https://www.youtube.com/user/EEntertainment/videos,TLC
TLC UK,https://www.youtube.com/channel/UC2vlpX8sNDBmPcY_1_QSGJg/videos,TLC
Say Yes To the Dress,https://www.youtube.com/channel/UC6B64FzMdVOvtgo6ebdRCjA/videos,TLC
Food Network US,https://www.youtube.com/user/FoodNetworkTV/videos,TLC
Buzzfeed Unsolved Network,https://www.youtube.com/channel/UCKijjvu6bN1c-ZHVwR7-5WA/videos,ID
True Crime Daily,https://www.youtube.com/channel/UC69uYUqvx-vw4luuX7aHNLQ/videos,ID
Real Stories,https://www.youtube.com/channel/UCu4XcDBdnZkV6-5z2f16M0g/videos,ID
This Old House,https://www.youtube.com/user/thisoldhouse/videos,HGTV
Never Too Small,https://www.youtube.com/channel/UC_zQ777U6YTyatP3P1wi3xw/videos,HGTV
Matt Risinger,https://www.youtube.com/user/MattRisinger/videos,HGTV
House & Home,https://www.youtube.com/user/houseandhomevideo/videos,HGTV
HGTV US,https://www.youtube.com/user/HGTV/videos,HGTV
HouzzTV,https://www.youtube.com/user/HouzzTV/videos,HGTV
The King Of Random,https://www.youtube.com/user/01032010814/videos,DSC
Mark Rober,https://www.youtube.com/user/onemeeeliondollars/videos,DSC
"Hydraulic Press Channel
",https://www.youtube.com/channel/UCcMDMoNu66_1Hwi5-MeiQgw/videos,DSC
"Haerte Test
",https://www.youtube.com/user/HaerteTest/videos,DSC
DSC SEA,https://www.youtube.com/user/discoverychannelasia/videos,DSC
Daily Dose of the Internet ,https://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw/videos,DSC
Brave Wilderness,https://www.youtube.com/user/BreakingTrail/videos,DSC
Asian Boss,https://www.youtube.com/user/askasianboss/featured/videos,DSC
DSC US,https://www.youtube.com/user/DiscoveryNetworks/videos,DSC
DSC UK,https://www.youtube.com/user/DiscoveryTV/videos,DSC
Animal Planet US,https://www.youtube.com/user/AnimalPlanetTV/videos,DSC
History Channel,https://www.youtube.com/user/historychannel/videos,DSC
What's inside,https://www.youtube.com/user/lincolnmarkham/videos,DCode
Vox,https://www.youtube.com/user/voxdotcom/videos,DCode
Kurzgesagt - In a Nutshell,https://www.youtube.com/user/Kurzgesagt/videos,DCode
CGPGrey,https://www.youtube.com/user/CGPGrey/videos,DCode
Asap Science,https://www.youtube.com/user/AsapSCIENCE/videos,DCode
Science Channel,https://www.youtube.com/user/ScienceChannel/videos,DCode
5-min crafts,https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw/videos,AFN
Travel Thirsty,https://www.youtube.com/user/TravelThirstyBlog/videos,AFN
The Try Guys,https://www.youtube.com/channel/UCpi8TJfiA4lKGkaXs__YdBA/videos,AFN
Tasty,https://www.youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q/videos,AFN
Stephanie Soo,https://www.youtube.com/channel/UCo9ZZ04kIhN_8xGxvnjaduQ/videos,AFN
Mark Wiens,https://www.youtube.com/channel/UCyEd6QBSgat5kkC6svyjudA/videos,AFN
Food Insider,https://www.youtube.com/channel/UCwiTOchWeKjrJZw7S1H__1g/videos,AFN
Buzzfeed BringMe,https://www.youtube.com/channel/UC4wdBTbD8lWlhZdggG2YBlw/videos,AFN
Bon Appetit,https://www.youtube.com/user/BonAppetitDotCom/videos,AFN
"Best Ever Food Review Show
",https://www.youtube.com/user/sonnysidevideos/videos,AFN
Abroad in Japan,https://www.youtube.com/user/cmbroad44/videos,AFN
Aaron & Claire,https://www.youtube.com/channel/UC5qRAYQmCLx8hFGIiTWSQvA/videos,AFN
